I,ūnus ūna ūnum,1,2024-11-16T12:00:00
II,duo duae duo,1,2024-11-16T12:00:00
III,trēs tria,1,2024-11-16T12:00:00
IV,quattuor,1,2024-11-16T12:00:00
V,quīnque,1,2024-11-16T12:00:00
VI,sex,1,2024-11-16T12:00:00
VII,septem,1,2024-11-16T12:00:00
VIII,octō,1,2024-11-16T12:00:00
IX,nōvem,1,2024-11-16T12:00:00
X,decem,1,2024-11-16T12:00:00
XI,ūndecim,1,2024-11-16T12:00:00
XII,duodecim,1,2024-11-16T12:00:00
XIII,tredecim,1,2024-11-16T12:00:00
XIV,quattuordecim,1,2024-11-16T12:00:00
XV,quīndecim,1,2024-11-16T12:00:00
XVI,sēdecim,1,2024-11-16T12:00:00
XVII,septendecim,1,2024-11-16T12:00:00
XVIII,duodēvīgintī,1,2024-11-16T12:00:00
XIX,ūndēvīgintī,1,2024-11-16T12:00:00
XX,vīgintī,1,2024-11-16T12:00:00
XXI,vīgintī et ūnus,1,2024-11-16T12:00:00
XXII,vīgintī et duo,1,2024-11-16T12:00:00
XXX,trīgintā,1,2024-11-16T12:00:00
XL,quadrāgintā,1,2024-11-16T12:00:00
L,quīnquāgintā,1,2024-11-16T12:00:00
LX,sexāgintā,1,2024-11-16T12:00:00
LXX,septuāgintā,1,2024-11-16T12:00:00
LXXX,octōgintā,1,2024-11-16T12:00:00
XC,nōnāgintā,1,2024-11-16T12:00:00
C,centum,1,2024-11-16T12:00:00
